date,day_of_week,day_type,notes
2026-08-03,Monday,planning,Teacher planning day
2026-08-04,Tuesday,planning,Teacher planning day
2026-08-05,Wednesday,planning,Teacher planning day
2026-08-06,Thursday,planning,Teacher planning day
2026-08-07,Friday,planning,Teacher planning day
2026-08-10,Monday,white,First day of school
2026-08-11,Tuesday,blue,SAC Meeting 3:30 PM
2026-08-12,Wednesday,white,
2026-08-13,Thursday,blue,
2026-08-14,Friday,white,
2026-08-17,Monday,blue,
2026-08-18,Tuesday,white,
2026-08-19,Wednesday,blue,
2026-08-20,Thursday,white,
2026-08-21,Friday,blue,
2026-08-24,Monday,white,
2026-08-25,Tuesday,blue,
2026-08-26,Wednesday,white,
2026-08-27,Thursday,blue,
2026-08-28,Friday,white,
2026-08-31,Monday,blue,
2026-09-01,Tuesday,white,SAC Meeting 3:30 PM
2026-09-02,Wednesday,blue,
2026-09-03,Thursday,psd,Professional Study Day - 11:50 release
2026-09-04,Friday,blue,
2026-09-07,Monday,closed,School closed (Labor Day)
2026-09-08,Tuesday,white,
2026-09-09,Wednesday,blue,
2026-09-10,Thursday,white,
2026-09-11,Friday,blue,
2026-09-14,Monday,white,
2026-09-15,Tuesday,blue,
2026-09-16,Wednesday,white,
2026-09-17,Thursday,blue,
2026-09-18,Friday,white,
2026-09-21,Monday,closed,School closed
2026-09-22,Tuesday,blue,
2026-09-23,Wednesday,white,
2026-09-24,Thursday,blue,
2026-09-25,Friday,white,Interim Reports
2026-09-28,Monday,blue,
2026-09-29,Tuesday,white,
2026-09-30,Wednesday,blue,
2026-10-01,Thursday,white,
2026-10-02,Friday,blue,
2026-10-05,Monday,white,
2026-10-06,Tuesday,blue,SAC Meeting 3:30 PM
2026-10-07,Wednesday,white,
2026-10-08,Thursday,blue,
2026-10-09,Friday,erd,Early Release Day - 12:50 dismissal
2026-10-12,Monday,planning,Teacher planning day · Quarter last day
2026-10-13,Tuesday,blue,
2026-10-14,Wednesday,white,
2026-10-15,Thursday,blue,
2026-10-16,Friday,white,
2026-10-19,Monday,blue,
2026-10-20,Tuesday,white,
2026-10-21,Wednesday,blue,
2026-10-22,Thursday,white,
2026-10-23,Friday,blue,
2026-10-26,Monday,white,
2026-10-27,Tuesday,blue,
2026-10-28,Wednesday,white,
2026-10-29,Thursday,blue,
2026-10-30,Friday,white,
2026-11-02,Monday,blue,
2026-11-03,Tuesday,planning,Teacher planning day · SAC Meeting 3:30 PM
2026-11-04,Wednesday,white,
2026-11-05,Thursday,psd,Professional Study Day - 11:50 release
2026-11-06,Friday,white,
2026-11-09,Monday,blue,Report Cards
2026-11-10,Tuesday,white,
2026-11-11,Wednesday,closed,School closed (Veterans Day)
2026-11-12,Thursday,blue,
2026-11-13,Friday,white,
2026-11-16,Monday,blue,
2026-11-17,Tuesday,white,
2026-11-18,Wednesday,blue,
2026-11-19,Thursday,white,
2026-11-20,Friday,blue,Interim Reports
2026-11-23,Monday,closed,School closed - Thanksgiving
2026-11-24,Tuesday,closed,School closed - Thanksgiving
2026-11-25,Wednesday,closed,School closed - Thanksgiving
2026-11-26,Thursday,closed,School closed - Thanksgiving
